45.218426 49.622936 45.671112 46.837494 45.671112
5.840867 12.766709 27.696655 15.434743 12.766709
49.779312 2.2464628 40.388912 30.804895 40.388912
37.89904 25.093512 24.174583 29.055712 25.093512
8.251934 7.8523746 41.01656 19.040289 8.251934
30.76464 47.77257 33.9726 37.50327 33.9726
3.8122697 47.488426 50.241024 33.84724 47.488426
42.72781 2.608392 40.681858 28.672686 40.681858
41.97951 48.872147 37.77447 42.875378 41.97951
50.032356 21.296288 14.475714 28.601454 21.296288
36.701935 24.136984 49.928043 36.92232 36.701935
27.495968 2.618424 48.21803 26.110807 27.495968
46.190025 9.404583 2.2664843 19.287031 9.404583
4.398301 9.673325 6.9961286 7.022585 6.9961286
19.068789 48.597466 14.042609 27.236288 19.068789
30.960896 20.787806 36.113728 29.287476 30.960896
29.295301 23.104067 47.667313 33.35556 29.295301
32.301857 29.74443 0.23694156 20.761076 29.74443
44.616375 5.4489427 41.982616 30.682646 41.982616
30.753256 49.163433 15.983487 31.966726 30.753256
32.173454 10.734684 43.668877 28.859003 32.173454
41.531345 8.199214 16.104397 21.944986 16.104397
28.638945 38.053726 42.47008 36.387585 38.053726
0.866142 32.932102 17.367847 17.055365 17.367847
43.57039 30.828592 8.190948 27.529976 30.828592
33.760098 19.381027 9.420741 20.853956 19.381027
42.968517 48.15442 16.874949 35.999294 42.968517
45.254 36.747322 34.395332 38.798885 36.747322
45.43397 49.98012 46.372677 47.262257 46.372677
31.645432 11.280254 39.73142 27.552368 31.645432
1.3389091 16.681438 50.45466 22.825003 16.681438
30.010857 18.87774 11.00068 19.96309 18.87774
45.706833 1.3242571 36.902653 27.977915 36.902653
16.121716 25.688208 0.11557586 13.975166 16.121716
20.561281 42.278122 15.959279 26.266228 20.561281
15.678398 49.43988 8.863695 24.660658 15.678398
11.53629 11.672909 42.34962 21.852942 11.672909
46.49027 12.010187 44.677383 34.392612 44.677383
42.104008 48.36597 21.671974 37.38065 42.104008
46.84679 38.76992 36.892212 40.836308 38.76992
7.5737987 13.2384205 39.541798 20.118006 13.2384205
33.911903 28.043884 38.695526 33.550438 33.911903
19.6492 2.9192302 21.85612 14.808183 19.6492
25.35466 50.562477 30.76314 35.560093 30.76314
1 1 1 1 1
15 15 20 16.666667 15
20 15 15 20 15
10 15 5 10 15
50 2 1 17.666667 2
22 21 20 21 21


