3.7128603 14.555715 10.994886 9.754487 10.994886
32.631596 30.371502 28.020842 30.341314 30.371502
46.5304 32.85946 6.7668633 28.718908 32.85946
17.92343 2.1694443 38.118053 19.403643 17.92343
10.913751 6.8130646 41.502735 19.743183 10.913751
50.716305 18.598488 41.747078 37.020622 41.747078
8.953282 50.622135 37.904617 32.493343 37.904617
19.101349 38.84751 40.79003 32.912964 38.84751
8.544382 16.778248 41.944603 22.422411 16.778248
25.666574 18.33775 40.61913 28.207819 25.666574
23.991905 12.168972 26.37508 20.84532 23.991905
15.733919 2.4279637 23.071463 13.744449 15.733919
13.062639 18.584496 2.8771772 11.508103 13.062639
34.09272 28.38195 8.001234 23.491968 28.38195
45.57132 45.05462 30.294636 40.306858 45.05462
5 5 5 5 5
10 2 1 4.333333 2
20 10 30 20 20
15 5 2.578902 7.526301 5
10 1 1 4 1
